,features,coef
324,cit_El Dorado,0.0
325,cit_El Dorado Hills,-0.005112352704549253
326,cit_El Monte,0.03823395920053007
327,cit_El Nido,-0.0009635702640894858
328,cit_El Portal,0.0
329,cit_El Segundo,-0.00047851692299231627
330,cit_El Sobrante,0.0
331,cit_Eldridge,0.0
332,cit_Elk,-0.00020999697812000833
333,cit_Elk Creek,0.0
334,cit_Elk Grove,0.14269013847401066
335,cit_Elmira,0.0
336,cit_Elverta,0.0014394001058362779
337,cit_Emeryville,0.0
338,cit_Emigrant Gap,0.0
339,cit_Encinitas,-0.003741867796694304
340,cit_Encino,0.004944283465823308
341,cit_Escalon,-0.00012248182200320261
342,cit_Escondido,-0.0062516122187708245
343,cit_Esparto,0.0
344,cit_Essex,-0.00037027006979481166
345,cit_Etna,-0.0003379111313136402
346,cit_Eureka,-0.0005768050232601187
347,cit_Exeter,0.0
348,cit_Fair Oaks,0.0013794795338658724
349,cit_Fairfax,0.0
350,cit_Fairfield,-0.028875762508205758
351,cit_Fall River Mills,-0.0023212146919575354
352,cit_Fallbrook,0.002264289661011465
353,cit_Farmersville,-0.00011586687539744125
354,cit_Farmington,0.0
355,cit_Fawnskin,0.0
356,cit_Fellows,0.0
357,cit_Felton,0.0004135476637647633
358,cit_Ferndale,-0.005287892442607052
359,cit_Fiddletown,-0.14145875758926543
360,cit_Fields Landing,-1.8452239199857196e-05
361,cit_Fillmore,-0.0035658681714343383
362,cit_Firebaugh,-0.03943624105196609
363,cit_Fish Camp,-0.003003747742806911
364,cit_Five Points,0.0
365,cit_Flournoy,-0.0015088444567618543
366,cit_Folsom,-0.00017990080813686207
367,cit_Fontana,-0.00036652233649318215
368,cit_Foothill Ranch,0.0
369,cit_Forbestown,0.0
370,cit_Forest Falls,0.0
371,cit_Forest Knolls,0.0
372,cit_Forest Ranch,-0.003854365550720522
373,cit_Foresthill,-0.002726495756059344
374,cit_Forestville,-5.16063501162782e-05
375,cit_Forks Of Salmon,-0.0003540956405856618
376,cit_Fort Bidwell,0.0
377,cit_Fort Bragg,-0.01513392485842816
378,cit_Fort Irwin,-5.846332615974938e-05
379,cit_Fort Jones,0.0014436414913497802
380,cit_Fortuna,-0.0014419688352890403
381,cit_Fountain Valley,0.0
382,cit_Fowler,0.0
383,cit_Frazier Park,-0.0011856731404295655
384,cit_Freedom,0.0
385,cit_Fremont,0.21104011586951124
386,cit_French Camp,-0.00894098347858298
387,cit_French Gulch,-0.21658342896956728
388,cit_Fresno,-0.028811595339223853
389,cit_Friant,0.0
390,cit_Fullerton,-0.012693476079839085
391,cit_Fulton,0.0
392,cit_Galt,0.0
393,cit_Garberville,-0.0020420645764164594
394,cit_Garden Grove,-0.0005575432362055093
395,cit_Garden Valley,0.0066794553441884294
396,cit_Gardena,-0.0680881687194745
397,cit_Gasquet,0.0
398,cit_Gazelle,-0.00042815436537017263
399,cit_Georgetown,-0.0009827173115028297
400,cit_Gerber,0.0
401,cit_Geyserville,-0.0006131140911391024
402,cit_Gilroy,0.0
403,cit_Glen Ellen,0.00019005181266659163
404,cit_Glencoe,0.00028170651729171077
405,cit_Glendale,0.28390959566574986
406,cit_Glendora,-8.229029133755274e-05
407,cit_Glenhaven,-0.0006438818393314552
408,cit_Glenn,0.0
409,cit_Glennville,-8.070991823755045e-05
410,cit_Gold Run,0.0
411,cit_Goleta,-0.0006809204130216643
412,cit_Gonzales,0.0
413,cit_Goodyears Bar,0.0
414,cit_Granada Hills,0.0
415,cit_Grand Terrace,-0.012697384786122338
416,cit_Granite Bay,0.0
417,cit_Grass Valley,0.0009496430090252956
418,cit_Graton,-3.7290348502641964e-05
419,cit_Green Valley Lake,6.185960727039968e-05
420,cit_Greenbrae,0.004874119368790371
421,cit_Greenfield,0.06974349299541353
422,cit_Greenview,0.0
423,cit_Greenville,0.0
424,cit_Greenwood,0.0
425,cit_Grenada,0.0
